"","Area","Item","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019","Y2020"
"1908","Northern Africa","Cereals, Total",27639647,32772310,31917095,41825271,39353603,38842494,43439647,36636086,37315454,46789345,36429900,43168109,39843845,46491631,44414228,44273426,40524537,43579071,44601171,41137655,35612701
"1909","Northern Africa","Citrus Fruit, Total",4769025,4594001,5098746,5390071,5432617,5787692,6196289,5863126,6029640,6435982,6703201,7572752,8061869,7873601,9049254,9189492,8700340,9556334,9679308,10206317,9413670
"1910","Northern Africa","Eggs Primary",688665,716631,852000,840500,820740,829069,848113,912690,913260,835123,995357,1053562,1254078,1293638,1372198,1313674,1225509,1369071,1353007,1519039,1424656
"1911","Northern Africa","Fruit Primary",18060353,18026442,19369177,20768460,22196182,23296483,25164151,24442923,24962372,26788244,26612011,27989718,29282916,29413611,32169609,33728869,32174973,33448885,33805328,34075393,33713607
"1912","Northern Africa","Meat, Total",3769795,3820843,4134009,4119254,4138248,4287348,4370308,4593680,4689536,4850759,5082811,5242216,5197399,5367966,5508146,5674838,5645816,5993798,6051764,6172611,5978061
"1913","Northern Africa","Milk, Total",13823788,14539326,15423108,17029598,16888054,17827578,18121363,18719942,19041123,19064814,19689818,20296160,17819701,17645628,18112695,17371969,17516866,17925324,17267112,17492821,17359361
"1914","Northern Africa","Pulses, Total",878683,1049192,1142766,1114077,1120206,917246,1159277,1020216,1078760,1140028,1093328,1205995,1075151,1179211,1183148,1051237,978134,1285555,1376900,1336482,1203841
"1915","Northern Africa","Roots and Tubers, Total",5386913,5383000,6023721,6873268,7542064,8534656,7840367,7411258,8943074,9271019,10413590,11747187,12545839,13030151,13195891,13510760,12776441,13443990,13797728,14442297,13906808
"1916","Northern Africa","Sugar Crops Primary",27917972,27882458,29120998,29764095,30137175,31016685,31109990,33357332,32894510,31908793,33345373,33105570,33050384,35417953,36473320,38133627,37488455,37100261,36699102,37331332,37659751
"1917","Northern Africa","Treenuts, Total",213242,218180,202408,201195,210144,231323,268303,255836,263702,311271,280289,289885,321678,301615,323158,337139,324615,325197,320804,325812,335293
"1918","Northern Africa","Vegetables Primary",21200811,20755256,22253684,24287558,25856883,26015806,28219409,28395882,29775437,31528370,31101698,30998144,31838774,30637864,32885011,33690477,32370271,32903052,33805444,35242115,35800844
"1919","Southern Africa","Cereals, Total",14958158,11198225,13389478,12139376,12359772,14528305,9869351,9755583,15624227,14889917,15129236,13302089,14945096,14489622,17016798,12233099,10376738,19324351,15479437,13576006,18762200
"1920","Southern Africa","Citrus Fruit, Total",1804221,2001281,1913582,2046395,1850004,2024828,2139753,2222432,2319351,2210159,2229208,2446361,2471544,2783291,2823907,2793702,2290641,2518596,2984655,2864799,2928548
"1921","Southern Africa","Eggs Primary",337010,339130,349827,337972,358540,385899,423314,449770,437400,415139,424720,463720,488911,480222,465339,532476,488257,454685,485680,574904,603393
"1922","Southern Africa","Fruit Primary",5381707,5337868,5617928,6107735,5861252,5999145,6036150,6290777,6545548,6287963,6334816,6457600,6675511,7279781,7288094,7498159,6779902,7121432,7478686,7338353,7712534
"1923","Southern Africa","Meat, Total",1836182,1892281,1926365,2010964,2099036,2199810,2331190,2531954,2696071,2775853,2976772,2977013,2996403,3275793,3386092,3462351,3422252,3316765,3425129,3546060,3622428
"1924","Southern Africa","Milk, Total",3093136,3466556,3207396,3314546,3356392,3811848,3649622,3727560,3817986,3773332,3929300,3922777,4038161,4086201,4021021,4216324,4206486,4205939,4321117,4498020,4427138
"1925","Southern Africa","Pulses, Total",130647,147486,104287,96953,117561,114763,111493,86495,104202,114257,105182,93541,95280,106841,135145,124374,82904,119296,125365,110153,128602
"1926","Southern Africa","Roots and Tubers, Total",2230409,2309266,2133883,2237607,2402549,2383166,2468582,2550953,2671439,2502809,2756154,2875278,2918757,2896195,2980450,3222288,2890593,3230812,3256824,3285448,3327696
"1927","Southern Africa","Sugar Crops Primary",27760762,25156536,27612554,25018932,23894760,26252266,25278603,24723916,24255404,23655088,21125513,22088688,22641066,25470888,23197459,20377492,20638536,23064149,24987154,24978971,23919469
"1928","Southern Africa","Treenuts, Total",10375,11700,12200,12500,13480,14334,14750,15379,16278,16615,23005,24050,26148,33615,40993,44023,46399,49469,52759,56033,59690
"1929","Southern Africa","Vegetables Primary",2072257,2145292,2157931,2318778,2325814,2310628,2123599,2193380,2477274,2445901,2671540,2716854,2865552,2835418,2681754,2901920,2752066,2878740,2759513,2782238,2828153
"1930","Western Africa","Cereals, Total",36606922,37314063,39323554,42875636,42302756,47399351,50979509,47728905,56357417,47514474,54036806,46850054,53401562,51555739,56482464,59823531,64143568,63990991,69222467,70954901,71634276
"1931","Western Africa","Citrus Fruit, Total",4069972,4074768,4095687,4140620,4323906,4337057,4333985,4522751,4668617,5148993,5355008,5348536,5527553,5567314,5280034,5399306,5854085,5796681,5449156,5460687,5757631
"1932","Western Africa","Eggs Primary",576248,626977,642590,653288,683870,705196,735905,771835,825599,856969,861208,897068,912921,932125,931077,956269,947873,965447,962418,977624,977641
"1933","Western Africa","Fruit Primary",16833659,17067816,17585578,18003584,18270745,18772716,18841279,19623243,20209776,21994757,22820318,22957027,23758948,24287149,24059441,24524124,25793098,25895566,26954702,27501948,28514991
"1934","Western Africa","Meat, Total",2225641,2336150,2444697,2465200,2542209,2607892,2637675,2741653,2838306,2928093,3008825,3007423,3008876,3132064,3151218,3253468,3265516,3373875,3471034,3513659,3576805
